#heuristic2.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h2,58885,cyc_0070-15.txt,70,1062,500,0,,0
h2,58886,cyc_0070-15.txt,70,1062,400,0,,0
h2,58887,cyc_0070-15.txt,70,1062,400,0,,0
h2,58888,cyc_0070-15.txt,70,1062,300,0,,0
h2,58889,cyc_0070-15.txt,70,1062,400,0,,0
h2,58890,cyc_0070-15.txt,70,1062,300,0,,0
h2,58891,cyc_0070-15.txt,70,1062,100,0,,0
h2,58892,cyc_0070-15.txt,70,1062,200,0,,0
h2,58893,cyc_0070-15.txt,70,1062,300,0,,0
h2,58894,cyc_0070-15.txt,70,1062,500,0,,0
h2,58895,cyc_0070-15.txt,70,1062,300,0,,0
h2,58896,cyc_0070-15.txt,70,1062,200,0,,0
h2,58897,cyc_0070-15.txt,70,1062,200,0,,0
h2,58898,cyc_0070-15.txt,70,1062,400,0,,0
h2,58899,cyc_0070-15.txt,70,1062,200,0,,0
h2,58900,cyc_0070-15.txt,70,1062,300,0,,0
h2,58901,cyc_0070-15.txt,70,1062,300,0,,0
h2,58902,cyc_0070-15.txt,70,1062,500,0,,0
h2,58903,cyc_0070-15.txt,70,1062,300,0,,0
h2,58904,cyc_0070-15.txt,70,1062,300,0,,0
h2,58905,cyc_0070-15.txt,70,1062,300,0,,0
h2,58906,cyc_0070-15.txt,70,1062,300,0,,0
h2,58907,cyc_0070-15.txt,70,1062,400,0,,0
h2,58908,cyc_0070-15.txt,70,1062,300,0,,0
h2,58909,cyc_0070-15.txt,70,1062,400,0,,0
h2,58910,cyc_0070-15.txt,70,1062,600,0,,0
h2,58911,cyc_0070-15.txt,70,1062,400,0,,0
h2,58912,cyc_0070-15.txt,70,1062,400,0,,0
h2,58913,cyc_0070-15.txt,70,1062,300,0,,0
h2,58914,cyc_0070-15.txt,70,1062,400,0,,0
h2,58915,cyc_0070-15.txt,70,1062,400,0,,0
h2,58916,cyc_0070-15.txt,70,1062,400,0,,0
h2,58917,cyc_0070-15.txt,70,1062,400,0,,0
h2,58918,cyc_0070-15.txt,70,1062,300,0,,0
h2,58919,cyc_0070-15.txt,70,1062,300,0,,0
h2,58920,cyc_0070-15.txt,70,1062,300,0,,0
h2,58921,cyc_0070-15.txt,70,1062,400,0,,0
h2,58922,cyc_0100-03.txt,100,315,800,0,,0
h2,58923,cyc_0100-03.txt,100,315,300,0,,0
h2,58924,cyc_0100-03.txt,100,315,600,0,,0
h2,58925,cyc_0100-03.txt,100,315,400,0,,0
h2,58926,cyc_0100-03.txt,100,315,400,0,,0
h2,58927,cyc_0100-03.txt,100,315,200,0,,0
h2,58928,cyc_0100-03.txt,100,315,200,0,,0
h2,58929,cyc_0100-03.txt,100,315,200,0,,0
h2,58930,cyc_0100-03.txt,100,315,300,0,,0
h2,58931,cyc_0100-03.txt,100,315,400,0,,0
h2,58932,cyc_0100-03.txt,100,315,300,0,,0
h2,58933,cyc_0100-03.txt,100,315,200,0,,0
h2,58934,cyc_0100-03.txt,100,315,200,0,,0
h2,58935,cyc_0100-03.txt,100,315,300,0,,0
